Jersey_Number	DOB	City	State	Country	Birth_Country	Height	Weight	Shoots	Draft_Year	Draft_Round	Draft_Pick	Signed	Age	First_Name	Last_Name	Team	Prev_Team	Pos	Games_Curr_Team	Games_Other	Games_Other2	Games_Played	Goals	Assists	Penalty_Mins	Total_Points	Plus_Minus
8	2/25/1987	Muskegon	MI	USA	USA	74	218	L	2005	2	42		28	Justin	Abdelkader	DET	DET	LW/RW/C	81	 	 	82	19	23	17	42	-16
55	12/1/1991	Johnston	RI	USA	USA	70	208	R				Y	24	Noel	Acciari	BOS	BOS	C	19	 	 	19	0	1	1	1	-4
51	4/30/1992	Morristown	NJ	USA	USA	72	202	L	2010	5	140	Y	23	Kenny	Agostino	CGY	CGY	LW	2	 	 	2	0	0	0	0	-2
28	1/3/1991	Kleinburg	ON	CAN	CAN	70	187	L				Y	25	Andrew	Agozzino	COL	COL	LW/C	9	 	 	9	0	2	0	2	-1
27	9/24/1988	Burnaby	BC	CAN	CAN	74	214	L	2007	1	5		27	Karl	Alzner	WSH	WSH	D	82	 	 	82	4	17	8	21	14
34	5/7/1994	Burlington	ON	CAN	CAN	75	221	R	2012	4	95	Y	21	Josh	Anderson	CBJ	CBJ	RW/LW	12	 	 	12	1	3	0	4	0
18	2/5/1989	Munkedal		SWE	SWE	74	211	L	2007	3	88		27	Joakim	Andersson	DET	DET	C	29	 	 	29	1	2	1	3	1
15	5/17/1991	Pickering	ON	CAN	CAN	73	203	L	2011	3	80	Y	24	Andy	Andreoff	LAK	LAK	LW/C	59	 	 	60	8	2	2	10	1
42	3/21/1993	Zurich		CHE	CHE	70	187	L	2013	3	86	Y	22	Sven	Andrighetto	MTL	MTL	RW/LW	44	 	 	44	7	10	5	17	1
10	6/27/1985	Woodbridge	ON	CAN	CAN	73	214	L					30	Mike	Angelidis	TBL	TBL	LW	4	 	 	4	1	0	0	1	2
15	5/24/1988	Yaroslavl		RUS	RUS	76	198	L	2006	2	54		27	Artem	Anisimov	CHI	CHI	C	77	 	 	77	20	22	9	42	8
45	10/6/1992	Regina	SK	CAN	CAN	70	176	R	2011	6	174	Y	23	Josh	Archibald	PIT	PIT	RW/LW	1	 	 	1	0	0	0	0	0
33	8/12/1988	Milford	CT	USA	USA	68	174	R					27	Mark	Arcobello	TOR	TOR	RW/C	19	 	 	20	3	1	0	4	0
40	5/31/1993	Pori		FIN	FIN	75	205	R	2011	1	16	Y	22	Joel	Armia	WPG	WPG	RW	42	 	 	43	4	6	3	10	2
38	4/8/1993	Skellefteå		SWE	SWE	69	180	R	2014	4	112	Y	22	Viktor	Arvidsson	NSH	NSH	LW/RW	55	 	 	56	8	8	5	16	-8
72	8/6/1994	London	ON	CAN	CAN	74	192	L	2012	4	110	Y	21	Andreas	Athanasiou	DET	DET	C/LW	36	 	 	37	9	5	2	14	1
13	6/5/1989	Riverside	CT	USA	USA	68	180	R	2008	6	157		26	Cam	Atkinson	CBJ	CBJ	RW	80	 	 	81	27	26	19	53	-8
42	5/1/1984	Minneapolis	MN	USA	USA	75	221	R	2003	2	62		31	David	Backes	STL	STL	C/RW	79	 	 	79	21	24	17	45	4
11	3/17/1989	Vasteras		SWE	SWE	73	199	L	2007	1	24		26	Mikael	Backlund	CGY	CGY	C	81	 	 	82	21	26	17	47	10
19	11/23/1987	Gävle		SWE	SWE	73	213	L	2006	1	4		28	Nicklas	Backstrom	WSH	WSH	C	75	 	 	75	20	50	29	70	17
47	10/5/1992	Bern		CHE	CHE	71	190	L	2011	1	13		23	Sven	Baertschi	VAN	VAN	LW/RW	69	 	 	69	15	13	8	28	-14
12	10/2/1989	Bowmanville	ON	CAN	CAN	73	210	L	2008	1	9		26	Josh	Bailey	NYI	NYI	RW/LW	80	 	 	81	12	20	11	32	-7
56	7/1/1995	Buffalo	NY	USA	USA	75	210	R	2013	2	52	Y	20	Justin	Bailey	BUF	BUF	RW/C	8	 	 	8	0	0	0	0	-2
45	3/23/1990	Montreal	QC	CAN	CAN	73	207	L	2008	6	152		25	Mark	Barberio	MTL	MTL	D	30	 	 	30	2	8	2	10	0
16	9/2/1995	Tampere		FIN	FIN	75	213	L	2013	1	2		20	Aleksander	Barkov	FLA	FLA	C	66	 	 	66	28	31	19	59	18
4	7/26/1991	Victoria	BC	CAN	CAN	70	190	R	2009	3	64		24	Tyson	Barrie	COL	COL	D	78	 	 	78	13	36	20	49	-16
44	6/4/1988	Pittsburgh	PA	USA	USA	73	196	L	2008	7	190		27	Matt	Bartkowski	VAN	VAN	D	80	 	 	80	6	12	5	18	-19
20	2/17/1988	Ottawa	ON	CAN	CAN	72	215	L					27	Victor	Bartley	MTL	NSH; MTL	D	1	9	 	10	0	0	0	0	2
16	1/7/1987	Owen Sound	ON	CAN	CAN	72	205	R	2005	4	95		29	Cody	Bass	NSH	NSH	C/RW	17	 	 	17	0	0	0	0	-1
39	5/4/1992	Toronto	ON	CAN	CAN	74	209	R				Y	23	Kyle	Baun	CHI	CHI	RW	2	 	 	2	0	0	0	0	-2
83	10/16/1985	Calgary	AB	CAN	CAN	75	210	R					30	Jay	Beagle	WSH	WSH	RW/C	57	 	 	57	8	9	5	17	0
32	6/4/1980	Sorel	QC	CAN	CAN	73	208	L	1998	3	75		35	Francois	Beauchemin	COL	COL	D	82	 	 	82	8	26	6	34	-7
28	12/5/1992	Strathroy	ON	CAN	CAN	74	205	L	2011	1	17		23	Nathan	Beaulieu	MTL	MTL	D	64	 	 	64	2	17	8	19	-6
	5/13/1991	St. Catharines	ON	CAN	CAN	74	203	R	2009	3	70		24	Taylor	Beck	NYI	NYI	LW/RW	2	 	 	2	0	0	0	0	0
39	6/7/1988	Windsor	ON	CAN	CAN	72	203	L	2006	4	112		27	Matt	Beleskey	BOS	BOS	LW	80	 	 	80	15	22	11	37	6
78	3/6/1985	Le Blanc-Mesnil		FRA	FRA	72	198	L					30	Pierre-Edouard	Bellemare	PHI	PHI	LW/C	73	 	 	74	7	7	6	14	-8
14	7/18/1989	Victoria	BC	CAN	CAN	74	210	L	2007	5	129		26	Jamie	Benn	DAL	DAL	LW	81	 	 	82	41	48	26	89	7
24	7/26/1987	Victoria	BC	CAN	CAN	74	200	L					28	Jordie	Benn	DAL	DAL	D	63	 	 	64	3	9	6	12	2
19	11/27/1991	Gardena	CA	USA	USA	74	195	R	2010	1	20		24	Beau	Bennett	PIT	PIT	RW/LW	33	 	 	33	6	6	1	12	-1
93	6/20/1996	Holland Landing	ON	CAN	CAN	73	186	L	2014	1	4	Y	19	Sam	Bennett	CGY	CGY	C	76	 	 	77	18	18	12	36	-11
61	1/6/1984	St. Albert	ON	CAN	CAN	71	191	L					32	Andre	Benoit	STL	STL	D	2	 	 	2	0	0	0	0	1
37	7/24/1985	Ancienne-Lorette	QC	CAN	CAN	73	195	R	2003	2	45		30	Patrice	Bergeron	BOS	BOS	C	80	 	 	80	32	36	16	68	12
21	6/2/1988	Västerås		SWE	SWE	75	217	L	2006	1	25		27	Patrik	Berglund	STL	STL	C	42	 	 	42	10	5	2	15	1
16	3/31/1985	Quebec City	QC	CAN	CAN	75	220	R	2003	1	16		30	Steve	Bernier	NYI	NYI	RW	23	 	 	24	1	5	1	6	3
47	4/5/1994	Fribourg		CHE	CHE	70	189	R	2012	6	158	Y	21	Christoph	Bertschy	MIN	MIN	C	3	 	 	3	0	0	0	0	0
29	3/9/1986	Bowmanville	ON	CAN	CAN	76	223	L	2004	2	41		29	Bryan	Bickell	CHI	CHI	LW	25	 	 	25	0	2	1	2	-5
55	4/4/1988	Montreal	QC	CAN	CAN	70	187	R	2006	5	147		27	Alex	Biega	VAN	VAN	D	51	 	 	51	0	7	3	7	-11
2	6/16/1981	Grimsby	ON	CAN	CAN	73	200	R	2001	5	151		34	Kevin	Bieksa	ANA	ANA	D	71	 	 	71	4	11	7	15	-7
3	2/22/1995	Orillia	ON	CAN	CAN	73	190	L	2013	2	32	Y	20	Chris	Bigras	COL	COL	D	31	 	 	31	1	2	0	3	-2
2	7/15/1990	Island Park	NY	USA	USA	73	210	L	2010	6	168	Y	25	Anthony	Bitetto	NSH	NSH	D	27	 	 	28	1	5	1	6	0
28	4/10/1995	Herning		DNK	DNK	72	177	R	2013	3	89	Y	20	Oliver	Bjorkstrand	CBJ	CBJ	RW	12	 	 	12	4	4	2	8	6
27	7/17/1992	Minneapolis	MN	USA	USA	78	218	R	2010	1	19		23	Nick	Bjugstad	FLA	FLA	C	67	 	 	67	15	19	14	34	-8
64	7/18/1994	Markham	ON	CAN	CAN	72	200	L	2012	6	162	Y	21	Joseph	Blandisi	NJD	NJD	LW/RW/C	40	 	 	41	5	12	9	17	-14
46	12/15/1986	Toronto	ON	CAN	CAN	76	217	R	2005	2	43		29	Mike	Blunden	TBL	TBL	RW/LW	20	 	 	20	3	2	2	5	3
41	7/11/1988	Drumheller	AB	CAN	CAN	71	196	L	2006	5	128		27	Andrew	Bodnarchuk	COL	CBJ; COL	D	16	21	 	37	0	4	3	4	-7
89	12/16/1989	Brondby		DNK	DNK	72	211	L	2008	1	8		26	Mikkel	Boedker	COL	ARI; COL	LW/RW	61	18	 	80	17	34	21	51	-33
47	7/15/1990	Massena	NY	USA	USA	75	219	R	2008	1	3		25	Zach	Bogosian	BUF	BUF	D	64	 	 	64	7	17	6	24	-11
40	5/13/1986	Charlotte	NC	USA	USA	75	209	R	2005	4	101		29	Jared	Boll	CBJ	CBJ	RW	30	 	 	30	1	2	1	3	-3
63	6/5/1986	Mimico	ON	CAN	CAN	72	184	R	2004	2	32		29	Dave	Bolland	FLA	FLA	C	25	 	 	25	1	4	2	5	-2
52	1/31/1987	St. Charles	MO	USA	USA	74	220	L					29	Brandon	Bollig	CGY	CGY	LW	53	 	 	54	2	2	0	4	-10
13	4/20/1988	Hartford	CT	USA	USA	73	196	L	2007	6	173		27	Nick	Bonino	PIT	PIT	C/LW	63	 	 	63	9	20	12	29	13
74	7/12/1989	Ottawa	ON	CAN	CAN	74	205	L	2008	5	139		26	Mark	Borowiecki	OTT	OTT	D	62	 	 	63	1	1	1	2	-4
41	3/18/1989	Thunder Bay	ON	CAN	CAN	76	215	R	2007	3	78		26	Robert	Bortuzzo	STL	STL	D	40	 	 	40	2	1	0	3	2
12	9/8/1993	Lansing	MI	USA	USA	70	195	L	2011	4	99		22	Reid	Boucher	NJD	NJD	LW/RW	38	 	 	39	8	11	7	19	-13
36	8/17/1976	Halifax	NS	CAN	CAN	72	227	L	1994	9	234		39	Eric	Boulton	NYI	NYI	LW	6	 	 	6	0	0	0	0	-3
17	3/25/1990	Provost	AB	CAN	CAN	74	208	L	2008	3	78		25	Lance	Bouma	CGY	CGY	C	43	 	 	44	2	5	3	7	-6
57	9/23/1990	Rimouski	QC	CAN	CAN	70	206	L	2009	5	132		25	Gabriel	Bourque	NSH	NSH	RW/LW	22	 	 	22	1	3	2	4	0
